dt,AverageTemperature,AverageTemperatureUncertainty,City,Country
1874-03-01,16.682000000000002,1.626,Mexico,Mexico
1874-04-01,15.895,1.4280000000000002,Mexico,Mexico
1874-05-01,17.435,1.524,Mexico,Mexico
1874-06-01,17.297,1.683,Mexico,Mexico
1874-07-01,16.464000000000002,1.214,Mexico,Mexico
1874-08-01,17.836,0.953,Mexico,Mexico
1874-09-01,16.173,1.018,Mexico,Mexico
1874-10-01,14.742,1.801,Mexico,Mexico
1874-11-01,14.163,1.465,Mexico,Mexico
1874-12-01,12.948,1.375,Mexico,Mexico
1875-01-01,10.582999999999998,1.6769999999999998,Mexico,Mexico
1875-02-01,13.057,1.531,Mexico,Mexico
1875-03-01,16.008,1.544,Mexico,Mexico
1875-04-01,16.421,1.4340000000000002,Mexico,Mexico
1875-05-01,18.284,1.153,Mexico,Mexico
1875-06-01,18.027,1.347,Mexico,Mexico
1875-07-01,17.27,1.164,Mexico,Mexico
1875-08-01,17.154,0.947,Mexico,Mexico
1875-09-01,15.512,0.963,Mexico,Mexico
1875-10-01,14.493,1.108,Mexico,Mexico
1875-11-01,14.021,1.301,Mexico,Mexico
1875-12-01,12.837,1.395,Mexico,Mexico
1876-01-01,13.684,1.298,Mexico,Mexico
1876-02-01,13.748,1.582,Mexico,Mexico
1876-03-01,15.334,1.894,Mexico,Mexico
1876-04-01,17.155,1.499,Mexico,Mexico
1876-05-01,17.884,1.408,Mexico,Mexico
1876-06-01,17.815,1.144,Mexico,Mexico
1876-07-01,17.212,1.027,Mexico,Mexico
1876-08-01,17.392,0.966,Mexico,Mexico
1876-09-01,16.425,1.186,Mexico,Mexico
1876-10-01,14.834,1.205,Mexico,Mexico
1876-11-01,12.558,1.36,Mexico,Mexico
1876-12-01,9.655,1.426,Mexico,Mexico
1877-01-01,11.154000000000002,1.602,Mexico,Mexico
1877-02-01,12.63,1.76,Mexico,Mexico
1877-03-01,14.684,1.88,Mexico,Mexico
1877-04-01,16.884999999999998,1.63,Mexico,Mexico
1877-05-01,18.018,1.393,Mexico,Mexico
1877-06-01,17.848,1.867,Mexico,Mexico
1877-07-01,17.573,1.2009999999999998,Mexico,Mexico
1877-08-01,17.947,1.314,Mexico,Mexico
1877-09-01,17.229,1.058,Mexico,Mexico
1877-10-01,16.419,1.774,Mexico,Mexico
1877-11-01,13.299,1.389,Mexico,Mexico
1877-12-01,12.522,1.922,Mexico,Mexico
1878-01-01,12.052,1.073,Mexico,Mexico
1878-02-01,13.339,0.952,Mexico,Mexico
1878-03-01,15.669,0.887,Mexico,Mexico
1878-04-01,18.705,1.28,Mexico,Mexico
1878-05-01,19.619,0.8340000000000001,Mexico,Mexico
1878-06-01,19.309,1.193,Mexico,Mexico
1878-07-01,17.843,0.872,Mexico,Mexico
1878-08-01,17.165,0.578,Mexico,Mexico
1878-09-01,16.547,0.85,Mexico,Mexico
1878-10-01,15.488,0.477,Mexico,Mexico
1878-11-01,13.957,0.75,Mexico,Mexico
1878-12-01,11.595999999999998,1.186,Mexico,Mexico
1879-01-01,12.299,0.6,Mexico,Mexico
1879-02-01,12.738,0.71,Mexico,Mexico
